순위,영화명,개봉일,월,누적매출액 ,누적관객수 ,스크린수 ,대표국적 ,국적 ,배급사 ,등급 ,장르 ,감독 ,감독점수,배우 ,주연NO.1,점수,손익분기점
36,루시드 드림,2017-02-22,2,7.58E+08,101913,461,한국,한국,(주)넥스트엔터테인먼트월드(NEW),3,"SF,스릴러",김준성,0,"고수,설경구,박유천,강혜정,박인환,천호진",고수,0.001439475,
63,돌연변이,2015-10-22,10,7.49E+08,100505,399,한국,한국,필라멘트픽쳐스,2,"드라마,코미디",권오광,0,"이광수,이천희,박보영,장광,이병준,김희원,강봉성,권오광,추민철,장원석,우문기,김수정,김태환,박성일,박시영,박준수,박지연",이광수,0.008971612,
18,엽기적인 그녀 2,2016-05-12,5,5.94E+08,77007,387,한국,한국,(주)리틀빅픽쳐스,3,"멜로/로맨스,코미디",조근식,0,"차태현,빅토리아,후지이 미나,배성우,최진호,송옥숙,박재민,장봉영,정수련,정종준,양원석,조예경,윤서영,이상진,이성국,이은경,황창기,김병용,김우주",차태현,0.291644349,
77,쓰리 썸머 나잇,2015-07-15,7,6.10E+08,76872,297,한국,한국,"(주)리틀빅픽쳐스,(주)인벤트스톤",4,코미디,김상진,0,"김동욱,임원희,손호준,윤제문,류현경,심은진,이채영,전은진,정승민,박현수,홍광석,김승필,이신범",김동욱,0.200053562,
33,올레,2016-08-25,8,5.23E+08,66865,338,한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",3,"드라마,코미디",채두병,0,"신하균,박희순,오만석,유다인,이형섭,변준석,양희선",신하균,0.076660418,
80,두 남자,2016-11-30,11,4.60E+08,60365,397,한국,한국,씨네그루(주)키다리이엔티,4,"범죄,액션",이성태,0,"마동석,최민호,김기현,김형주,양희정,이유진",마동석,0.687868238,
123,더 테너 리리코 스핀토,2014-12-31,12,3.91E+08,50470,176,한국,한국,"(주)박수엔터테인먼트,(주)모인그룹",2,드라마,김상만,0,"유지태,차예련,이세야 유스케,김기현",유지태,0.121987145,
130,비밀,2015-10-15,10,3.69E+08,50194,305,한국,한국,CGV아트하우스,3,"미스터리,드라마","박은경,이동하",0,"성동일,김유정,손호준,임형준,서예지,진경,김동현,김동현,김요한,김우희,김원준,김은정,송호연,박세은,박재영,남일우",성동일,0.092595072,
97,성실한 나라의 앨리스,2015-08-13,8,3.49E+08,43944,69,한국,한국,CGV아트하우스,4,드라마,안국진,0,"이정현,이해영,서영화,명계남,오광록,이준혁,이대연,전홍석,박은영,정혜지,최경옥,최성현,안소영,윤희경,이상현,배제기,손범수,지대한,이용녀",이정현,0.147362078,
80,4등,2016-04-13,4,2.79E+08,37375,213,한국,한국,"(주)프레인글로벌,CGV아트하우스",3,드라마,정지우,0.027816768,"박해준,이항나,유재상,최무성,정가람,유재명,남문철,이혁찬,임유진,이상혁,이승준,최은미,권세정",박해준,0.138122657,
118,당신자신과 당신의 것,2016-11-10,11,1.45E+08,17854,151,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다",4,드라마,홍상수,0,"김주혁,이유영,김의성,권해효,유준상,김민정,백현진",김주혁,0.273031601,
28,나쁜놈은 죽는다,2016-02-04,2,1.17E+08,14926,138,중국,"중국,한국","TCO(주)더콘텐츠온,(유)조이앤시네마",3,"코미디,액션",손호,0,"손예진,진백림,신현준,박철민,장광,교진우,양욱문,정문박,김윤희",손예진,0.022362078,
199,나홀로 휴가,2016-09-22,9,6.18E+07,8148,165,한국,한국,(주)리틀빅픽쳐스,4,멜로/로맨스,조재현,0,"박혁권,윤주,이준혁,박재홍,조재현,이광기,이상욱,이서연,이성호,이승용,이승철,차봄,김유라",박혁권,0.54756963,
